"month","day","year","36015020","36025010","37050010","37055010"
"08","29","2006",4.5,NA,0,0.4
"08","30","2006",17.8,NA,3,0.2
"08","31","2006",0.6,NA,0,0
"09","01","2006",NA,NA,0,0
"09","02","2006",0,NA,0,0
"09","03","2006",0,NA,0,0
"09","04","2006",19,NA,0,8.5
"09","05","2006",0.3,NA,20,1.4
"09","06","2006",0.1,NA,0,0.2
"09","07","2006",0,NA,0,0
"09","08","2006",0,NA,0,0.4
"09","09","2006",0,NA,0,3
"09","10","2006",NA,NA,0,0
"09","11","2006",25.2,NA,0,19.8
"09","12","2006",7.6,NA,0,14.4
"09","13","2006",0,0,0,0
"09","14","2006",NA,0,0.3,0
"09","15","2006",0,0,0,7.3
"09","16","2006",NA,25,35,22.1
"09","17","2006",NA,0,24,12.6
"09","18","2006",NA,31,22,2
"09","19","2006",NA,0,0,0
"09","20","2006",NA,0,0,0
"09","21","2006",NA,0,0,0
"09","22","2006",NA,0,0,0
"09","23","2006",NA,69.2,60,4.7
"09","24","2006",55.6,21.8,0,5.8
"09","25","2006",2.2,2.5,17,13.8
"09","26","2006",NA,0,0,0
"09","27","2006",NA,0,0,0
"09","28","2006",0.1,0.5,0,0
"09","29","2006",NA,3.2,27,0
"09","30","2006",NA,3.2,0,0
"10","01","2006",NA,0,13,0
"10","02","2006",NA,79.9,0,0.9
"10","03","2006",1.7,45.2,0,0.8
"10","04","2006",17,1.1,2,0
"10","05","2006",NA,0,21,0
"10","06","2006",0.1,0,0,4.4
"10","07","2006",NA,0,0,0
"10","08","2006",28.5,19.3,24,12.8
"10","09","2006",7.3,15.6,0,0
"10","10","2006",NA,0,0,0.4
"10","11","2006",NA,28.3,0,3.9
"10","12","2006",0,0,35,0
"10","13","2006",NA,0,0,0
"10","14","2006",NA,4.3,0,0
"10","15","2006",0,0,0,0
"10","16","2006",NA,50.6,27,53.5
"10","17","2006",NA,0,9,0
"10","18","2006",0.1,1,0,0
"10","19","2006",0.4,2,0,1.6
"10","20","2006",9.2,25.2,2,0
"10","21","2006",NA,61.3,15,0
"10","22","2006",0,0,15,0
"10","23","2006",NA,0,3,0
"10","24","2006",NA,0,0,0
"10","25","2006",NA,0,0,0
"10","26","2006",0.8,0,5,12.4
"10","27","2006",NA,0,0,0
